order_id,order_date,customer_id,category,sales,profit,quantity
1,2021-01-01 00:00:00.000000000,2126,Beauty,412.55,34.65,4
2,2021-01-01 04:22:36.226037672,2459,Electronics,330.8,167.02,1
3,2021-01-01 08:45:12.452075345,1860,Home,489.1,-48.76,2
4,2021-01-01 13:07:48.678113018,2294,Fashion,99.45,-85.77,2
5,2021-01-01 17:30:24.904150691,2130,Electronics,258.12,55.08,4
6,2021-01-01 21:53:01.130188364,2095,Fashion,86.44,75.96,3
7,2021-01-02 02:15:37.356226037,2724,Electronics,301.68,97.63,2
8,2021-01-02 06:38:13.582263710,2044,Home,170.54,-20.89,5
9,2021-01-02 11:00:49.808301383,2638,Home,480.0,-86.23,1
10,2021-01-02 15:23:26.034339056,1121,Fashion,124.46,137.52,3
11,2021-01-02 19:46:02.260376729,1466,Home,113.48,81.0,1
12,2021-01-03 00:08:38.486414402,2238,Beauty,947.26,9.7,5
13,2021-01-03 04:31:14.712452075,1330,Electronics,349.77,-131.69,2
14,2021-01-03 08:53:50.938489748,2482,Home,187.99,-13.53,1
15,2021-01-03 13:16:27.164527421,1087,Beauty,122.67,41.165,1
16,2021-01-03 17:39:03.390565094,2396,Fashion,129.21,74.78,1
17,2021-01-03 22:01:39.616602767,2123,Beauty,648.71,-70.26,5
18,2021-01-04 02:24:15.842640440,1871,Fashion,371.57,89.53,3
19,2021-01-04 06:46:52.068678113,2687,Fashion,7.73,32.94,3
20,2021-01-04 11:09:28.294715785,1130,Electronics,192.09,141.37,5
21,2021-01-04 15:32:04.520753458,2685,Electronics,80.65,-15.83,1
22,2021-01-04 19:54:40.746791131,2332,Beauty,284.47,-9.36,1
23,2021-01-05 00:17:16.972828804,1769,Electronics,280.27,49.21,4
24,2021-01-05 04:39:53.198866477,1343,Electronics,278.67,6.59,2
25,2021-01-05 09:02:29.424904150,2515,Electronics,300.24,-29.88,2
26,2021-01-05 13:25:05.650941823,2437,Beauty,125.98,187.32,3
27,2021-01-05 17:47:41.876979496,1805,Home,226.24,153.68,5
28,2021-01-05 22:10:18.103017169,1385,Electronics,306.58,-36.79,1
29,2021-01-06 02:32:54.329054842,2215,Electronics,593.07,57.63,2
30,2021-01-06 06:55:30.555092515,1955,Beauty,471.57,-82.56,5
31,2021-01-06 11:18:06.781130188,1276,Home,936.46,176.1,5
32,2021-01-06 15:40:43.007167861,2184,Electronics,321.0,100.81,1
33,2021-01-06 20:03:19.233205534,1459,Fashion,184.3,120.29,5
34,2021-01-07 00:25:55.459243207,2337,Beauty,362.88,19.88,2
35,2021-01-07 04:48:31.685280880,1021,Electronics,122.74,133.98,4
36,2021-01-07 09:11:07.911318553,1252,Electronics,805.04,134.19,2
37,2021-01-07 13:33:44.137356226,1747,Fashion,270.76,26.83,4
38,2021-01-07 17:56:20.363393899,1856,Fashion,432.53,-51.92,5
39,2021-01-07 22:18:56.589431571,2584,Beauty,257.78,74.82,2
40,2021-01-08 02:41:32.815469244,1474,Beauty,81.85,29.88,1
41,2021-01-08 07:04:09.041506917,2082,Fashion,220.07,188.2,5
42,2021-01-08 11:26:45.267544590,1510,Beauty,198.64,44.05,1
43,2021-01-08 15:49:21.493582263,2705,Fashion,49.87,48.52,4
44,2021-01-08 20:11:57.719619936,2499,Electronics,51.31,41.165,3
45,2021-01-09 00:34:33.945657609,1699,Fashion,424.91,40.26,3
46,2021-01-09 04:57:10.171695282,1975,Fashion,120.59,95.55,4
47,2021-01-09 09:19:46.397732955,2806,Home,259.6,-3.12,3
48,2021-01-09 13:42:22.623770628,1189,Fashion,222.71,-49.48,5
